Time (h),U1 (V),U2 (V),U3 (V),U4 (V),U5 (V),Utot (V),J (A/cmｲ),I (A),TinH2 (C),ToutH2 (C),TinAIR (C),ToutAIR (C),TinWAT (C),ToutWAT (C),PinAIR (mbara),PoutAIR (mbara),PoutH2 (mbara),PinH2 (mbara),DinH2 (l/mn),DoutH2 (l/mn),DinAIR (l/mn),DoutAIR (l/mn),DWAT (l/mn),HrAIRFC (%)
606.5,0.655115312,0.652035508,0.646247347,0.651797035,0.64705888,3.251,0.70242,70.242,27.402,41.028,42.29,51.6,53.811,55.484,1299.929,1269.545,1296.651,1283.661,4.798,2.048,23.036,21.329,1.986,49.978
607,0.655125216,0.651989258,0.646252346,0.651814756,0.647101942,3.254,0.70247,70.247,27.365,41.554,42.23,51.563,53.756,55.408,1300.839,1269.488,1300.072,1286.793,4.796,2.151,23.036,21.266,1.991,50.012
607.5,0.655101011,0.651917248,0.646262734,0.651816972,0.647099438,3.254,0.70247,70.247,27.405,41.369,42.204,51.587,53.788,55.455,1300.213,1268.407,1295.396,1281.838,4.8,2.047,23.036,21.263,1.992,49.833
608,0.655049181,0.651831385,0.646278705,0.651808385,0.647065633,3.252,0.70256,70.256,27.381,41.248,42.298,51.482,53.66,55.351,1300.213,1269.09,1296.765,1284.059,4.797,2.129,23.036,21.266,1.99,50.164
608.5,0.655014211,0.651786934,0.646317346,0.651829737,0.647053178,3.249,0.70247,70.247,27.379,41.533,42.313,51.598,53.564,55.393,1301.067,1269.773,1305.775,1293.401,4.796,2.091,23.036,21.458,1.982,50.135
609,0.655038041,0.651826245,0.646387503,0.651922335,0.647101023,3.25,0.70173,70.173,27.925,41.996,42.365,51.765,53.775,55.433,1298.109,1266.358,1299.445,1286.395,4.804,2.089,23.038,21.692,1.993,50.179
609.5,0.655126309,0.651930387,0.646461221,0.652091689,0.647200328,3.256,0.70168,70.168,28.693,42.428,42.51,51.789,53.64,55.165,1303.513,1271.309,1295.453,1283.091,4.794,2.076,23.038,21.808,1.988,51.039
610,0.655254294,0.652043095,0.646489247,0.652298669,0.647318984,3.253,0.70154,70.154,29.576,43.316,42.576,52.056,53.807,55.455,1301.749,1269.829,1303.038,1291.293,4.792,2.11,23.041,21.874,1.992,50.591
610.5,0.655391294,0.652130723,0.646446342,0.652475614,0.647437755,3.253,0.70159,70.159,30.248,43.431,42.547,52.046,53.765,55.259,1301.408,1269.545,1296.594,1283.091,4.792,2.171,23.049,21.897,1.971,51.216
611,0.655512149,0.652204646,0.64635693,0.652558864,0.647550761,3.256,0.70144,70.144,30.772,43.501,42.559,52.202,53.846,55.361,1302.09,1269.886,1299.787,1285.825,4.793,2.09,23.051,21.95,1.982,50.984
611.5,0.655600373,0.65229651,0.646280223,0.652523651,0.647651368,3.256,0.70134,70.134,31.145,43.766,42.509,52.263,53.891,55.491,1301.237,1268.748,1304.977,1291.293,4.793,2.192,23,22.014,2.007,50.617
612,0.655649406,0.652418982,0.646265344,0.652392425,0.647726081,3.25,0.70129,70.129,31.44,44.012,42.464,52.239,53.923,55.408,1300.043,1268.407,1303.608,1291.293,4.792,2.112,23.058,21.965,2,50.749
612.5,0.655655462,0.652536277,0.646311478,0.652209949,0.647750859,3.256,0.70115,70.115,31.644,44.252,42.608,52.366,53.837,55.505,1301.977,1269.203,1293.856,1282.009,4.793,2.171,23.053,22.016,1.987,50.824
613,0.655616589,0.652576765,0.646378512,0.652023352,0.647705154,3.259,0.7009,70.09,31.888,44.511,42.524,52.357,52.978,55.452,1299.36,1267.382,1302.924,1291.236,4.794,2.109,23.062,22.014,1.989,50.702
613.5,0.655550365,0.652495112,0.646437822,0.651884594,0.647609406,3.252,0.70105,70.105,32.064,44.681,42.576,52.384,53.971,55.47,1300.27,1268.35,1300.015,1288.673,4.793,2.108,23.062,21.952,2.007,50.884
614,0.655495159,0.652323256,0.646491669,0.651837901,0.647530525,3.251,0.7009,70.09,32.24,44.36,42.648,52.266,53.699,55.098,1299.36,1268.293,1297.506,1284.344,4.793,2.19,23.039,22.028,2.012,51.744
614.5,0.655471235,0.652144281,0.646542366,0.6518815,0.647521321,3.253,0.70115,70.115,32.387,44.447,42.561,52.43,53.966,55.495,1298.222,1267.553,1302.924,1290.268,4.792,2.21,22.994,22.02,2.011,50.849
615,0.655451251,0.652017844,0.646570089,0.651959115,0.647561537,3.256,0.70076,70.076,32.573,44.649,42.704,52.322,53.647,55.11,1302.147,1269.488,1295.795,1283.831,4.792,2.169,23.115,22.052,2.012,51.835
615.5,0.655387694,0.65194367,0.646548595,0.652004409,0.647577839,3.252,0.701,70.1,32.726,44.487,42.724,52.395,53.849,55.384,1300.498,1268.464,1298.875,1286.508,4.792,2.191,22.988,22.094,2.008,51.263
616,0.655264604,0.651897228,0.646469785,0.651987175,0.647519161,3.257,0.70095,70.095,32.743,44.556,42.707,52.372,53.844,55.284,1301.123,1269.26,1302.239,1289.983,4.792,2.21,23.062,22.022,2.01,51.436
616.5,0.655114274,0.651877387,0.646356124,0.651921745,0.647398271,3.251,0.70085,70.085,32.691,44.562,42.616,52.286,53.788,55.237,1298.848,1267.553,1294.312,1282.123,4.792,2.17,23.06,21.961,2.012,51.422
617,0.654982576,0.651898097,0.646252584,0.651842684,0.64726034,3.25,0.7011,70.11,32.417,44.306,42.628,52.342,53.386,55.239,1298.848,1267.155,1296.536,1284.401,4.792,2.068,23.06,21.887,1.997,51.795
617.5,0.654880792,0.651946103,0.646190179,0.65176675,0.647128573,3.251,0.70134,70.134,32.002,43.934,42.741,52.194,53.823,55.301,1296.63,1265.106,1294.483,1282.009,4.814,2.148,23.058,21.844,2.002,51.365
618,0.654783479,0.65197392,0.646154597,0.651675166,0.646996588,3.256,0.70159,70.159,31.159,43.382,42.362,51.711,53.668,55.427,1300.1,1267.724,1299.673,1286.907,4.793,2.068,23.045,21.407,2.005,50.044
618.5,0.654677184,0.651941237,0.646109339,0.651542029,0.646866554,3.25,0.70183,70.183,29.69,42.246,42.325,51.576,53.65,55.419,1299.303,1269.146,1304.578,1291.863,4.795,2.068,23.041,21.331,1.989,50.084
619,0.65458658,0.651849467,0.646046528,0.651375617,0.646769419,3.25,0.70242,70.242,28.775,41.754,42.045,51.451,53.681,55.406,1302.489,1271.138,1302.525,1289.983,4.795,2.193,23.039,21.141,2,49.615
619.5,0.654538848,0.651725009,0.645994466,0.651218484,0.646736037,3.249,0.70232,70.232,28.238,41.315,42.107,51.55,53.729,55.496,1300.1,1269.374,1297.791,1284.743,4.799,2.128,23.036,21.331,1.983,49.372
620,0.654520806,0.651576737,0.645972935,0.651112071,0.646759204,3.249,0.70247,70.247,27.975,41.34,42.062,51.477,53.7,55.476,1300.782,1269.374,1296.594,1283.148,4.816,2.15,23.036,21.272,1.993,49.505
620.5,0.654489526,0.651393621,0.645959653,0.651073803,0.646795518,3.252,0.70251,70.251,27.824,41.127,42.177,51.447,53.675,55.455,1299.758,1269.147,1303.722,1291.008,4.801,2.069,23.038,21.272,2.001,49.442
621,0.654424671,0.651193745,0.645913479,0.651103173,0.646804985,3.25,0.70251,70.251,27.752,41.277,42.181,51.46,53.712,55.5,1296.516,1265.561,1304.806,1292.489,4.797,2.114,23.036,21.268,1.982,49.476
621.5,0.6543616,0.651049877,0.645824698,0.6511884,0.646783638,3.249,0.70251,70.251,27.69,41.21,42.212,51.328,53.642,55.424,1301.124,1269.943,1298.875,1285.426,4.798,2.172,23.038,21.268,2.001,49.51
622,0.654356451,0.651032093,0.645724411,0.651296956,0.646752342,3.244,0.70242,70.242,27.636,40.914,42.2,51.421,53.626,55.388,1297.085,1268.008,1299.901,1286.395,4.8,2.091,23.038,21.323,1.997,49.424
622.5,0.654411715,0.651122042,0.645640773,0.651372489,0.646715286,3.252,0.70256,70.256,27.633,41.224,42.311,51.466,53.679,55.468,1301.294,1269.772,1305.433,1292.945,4.796,2.113,23.038,21.265,2.001,49.751
623,0.654455339,0.651215647,0.645559271,0.651362247,0.646640717,3.251,0.70251,70.251,27.641,40.93,42.318,51.45,53.69,55.454,1298.905,1268.521,1301.042,1287.705,4.799,2.091,23.038,21.27,1.995,49.7
623.5,0.654404809,0.651222527,0.645431411,0.651251995,0.646488103,3.252,0.70232,70.232,27.65,41.172,42.258,51.571,53.752,55.487,1301.01,1269.545,1296.594,1282.635,4.798,2.131,23.034,21.268,1.984,49.668
624,0.654236786,0.651137481,0.645212903,0.651064343,0.646245247,3.245,0.70237,70.237,27.741,41.592,42.207,51.636,53.731,55.478,1301.294,1270.171,1296.536,1283.034,4.797,2.118,23.039,21.331,2.001,49.814
624.5,0.653990866,0.651006446,0.644896269,0.650830201,0.645935307,3.248,0.70247,70.247,27.816,41.427,42.328,51.614,53.606,55.391,1299.531,1268.464,1298.761,1284.344,4.825,2.131,23.036,21.266,1.968,50.224
625,0.653732156,0.650864356,0.644532813,0.650581486,0.645607273,3.248,0.70242,70.242,27.845,41.545,42.351,51.592,53.691,55.44,1302.09,1270.057,1304.464,1291.521,4.815,2.091,23.039,21.265,1.998,49.721
625.5,0.653523513,0.650728277,0.644231663,0.650365093,0.645329749,3.241,0.70217,70.217,27.853,41.56,42.374,51.489,53.65,55.367,1300.213,1270,1294.54,1281.724,4.796,2.131,23.038,21.331,1.982,50.059
626,0.653405745,0.650610509,0.64410124,0.650231309,0.645168573,3.239,0.70251,70.251,27.849,41.445,42.302,51.464,53.636,55.389,1298.45,1267.895,1295.852,1282.123,4.796,2.13,23.036,21.242,1.997,50.073
626.5,0.653376198,0.650508465,0.644162233,0.65019644,0.645144002,3.244,0.70251,70.251,27.888,41.622,42.107,51.63,53.702,55.458,1300.213,1269.033,1296.879,1283.319,4.815,2.13,23.036,21.276,1.994,49.816
627,0.653394026,0.650409975,0.644330072,0.65023248,0.645218426,3.246,0.70237,70.237,27.85,41.446,42.276,51.636,53.681,55.496,1300.555,1268.976,1301.156,1288.73,4.796,2.172,23.036,21.265,1.959,49.807
627.5,0.653423768,0.650326177,0.644493879,0.650299585,0.645337786,3.244,0.70242,70.242,27.839,41.354,42.215,51.542,53.696,55.446,1299.929,1268.407,1305.718,1294.027,4.799,2.159,23.036,21.263,1.993,49.766
628,0.653462118,0.650286082,0.644597269,0.650376529,0.645467325,3.241,0.70242,70.242,27.783,41.165,42.18,51.588,53.74,55.477,1298.621,1268.122,1295.738,1283.945,4.776,2.068,23.036,21.265,1.967,49.734
628.5,0.653507216,0.650284279,0.644643543,0.650457697,0.645580496,3.246,0.70237,70.237,27.751,41.452,42.324,51.55,53.327,55.277,1298.507,1267.838,1304.178,1292.034,4.799,2.112,23.036,21.265,1.989,50.29
629,0.653525034,0.650267786,0.64465523,0.650528721,0.645643805,3.246,0.70251,70.251,27.717,41.599,42.304,51.543,53.727,55.48,1299.019,1267.496,1300.015,1287.705,4.815,2.069,23.038,21.274,1.989,49.877
629.5,0.653478545,0.650195643,0.644648679,0.650558887,0.645636861,3.246,0.70251,70.251,27.711,41.31,42.44,51.637,53.777,55.473,1300.498,1268.521,1300.015,1288.274,4.795,2.069,23.039,21.265,1.994,50.102
630,0.653382031,0.650092629,0.644633215,0.65053101,0.645576232,3.243,0.70232,70.232,27.673,41.376,42.388,51.573,53.778,55.445,1300.441,1269.659,1294.997,1282.066,4.8,2.128,23.036,21.263,1.993,49.965
630.5,0.65330104,0.650030564,0.644620389,0.650471743,0.645507063,3.245,0.70256,70.256,27.676,41.382,42.241,51.573,53.704,55.438,1300.953,1269.374,1301.099,1288.73,4.795,2.092,23.038,21.329,1.998,49.744
631,0.653295602,0.650058753,0.644624509,0.650425289,0.645473417,3.24,0.70251,70.251,27.659,42.048,42.148,51.575,53.682,55.476,1296.857,1266.984,1305.604,1293.401,4.796,2.092,23.038,21.268,1.985,49.667
631.5,0.653370894,0.650153381,0.644643573,0.65039557,0.64549225,3.243,0.70247,70.247,27.673,41.46,42.16,51.6,53.713,55.439,1300.725,1269.431,1296.422,1283.091,4.798,2.133,23.036,21.329,1.998,49.82
632,0.653481335,0.650242855,0.644651578,0.650344396,0.645546095,3.249,0.70247,70.247,27.69,41.532,42.301,51.627,53.793,55.502,1301.01,1269.488,1296.479,1283.376,4.795,2.131,23.034,21.325,1.998,49.747
632.5,0.653575394,0.65029213,0.644635498,0.650258641,0.645601953,3.246,0.70232,70.232,27.74,42.725,42.276,51.593,53.626,55.397,1299.133,1267.951,1295.453,1282.863,4.796,2.134,23.038,21.268,1.991,50.107
633,0.653632593,0.650343524,0.644627127,0.650184055,0.645639074,3.238,0.70251,70.251,27.809,41.621,42.279,51.549,53.677,55.397,1299.303,1269.146,1301.384,1288.844,4.815,2.171,23.034,21.327,1.992,49.947
633.5,0.653662348,0.650459973,0.644665445,0.650166022,0.645655297,3.247,0.70232,70.232,27.888,41.446,42.365,51.603,53.696,55.451,1299.872,1268.293,1295.567,1282.863,4.816,2.131,23.036,21.268,1.992,49.972
634,0.653682729,0.650651742,0.644736131,0.650182278,0.645653517,3.245,0.70242,70.242,27.96,41.273,42.385,51.639,53.72,55.47,1300.725,1269.431,1304.806,1292.204,4.788,2.151,23.036,21.266,1.994,49.88
634.5,0.65370605,0.650873915,0.644776508,0.650166072,0.645630377,3.246,0.70242,70.242,28.023,41.627,42.244,51.597,53.665,55.412,1302.773,1271.252,1297.05,1284.116,4.797,2.068,23.036,21.208,1.985,49.859
635,0.653731705,0.65106664,0.64473726,0.650086367,0.645574957,3.245,0.70232,70.232,28.167,41.546,42.142,51.587,53.656,55.415,1301.92,1270.74,1294.655,1282.009,4.795,2.122,23.039,21.268,1.989,49.583
635.5,0.653749127,0.651179761,0.644630124,0.64998635,0.645481268,3.247,0.70217,70.217,28.327,41.39,42.165,51.551,53.581,55.355,1301.124,1270.569,1300.015,1287.363,4.797,2.149,23.038,21.301,1.989,49.934
636,0.653756552,0.651190405,0.644527543,0.649943645,0.645370827,3.244,0.70217,70.217,28.44,41.779,42.325,51.709,53.749,55.48,1302.432,1271.024,1295.738,1282.806,4.796,2.047,23.036,21.329,1.993,49.845
636.5,0.653770877,0.651125083,0.64451711,0.650000421,0.645295166,3.243,0.70242,70.242,28.451,41.606,42.36,51.606,53.625,55.386,1300.953,1270.968,1294.084,1281.382,4.794,2.11,23.038,21.327,1.989,50.042
637,0.653806302,0.65104202,0.644635972,0.650129311,0.645298824,3.243,0.70247,70.247,28.449,41.668,42.157,51.626,53.659,55.42,1301.408,1271.024,1298.019,1284.515,4.776,2.127,23.038,21.268,1.986,49.822
637.5,0.653849364,0.650965214,0.644833349,0.650260268,0.645373334,3.246,0.70227,70.227,28.469,41.597,42.133,51.671,53.751,55.468,1299.701,1268.407,1304.863,1292.09,4.801,2.068,23.038,21.213,1.99,49.639
638,0.653867761,0.650857965,0.645003046,0.650334779,0.645451986,3.248,0.70227,70.227,28.466,41.847,42.24,51.691,53.724,55.459,1300.213,1268.35,1300.015,1287.135,4.796,2.09,23.038,21.276,1.982,49.915
638.5,0.653842615,0.650688866,0.645065941,0.650341346,0.645462423,3.247,0.70227,70.227,28.448,41.67,42.458,51.684,53.718,55.438,1303.399,1271.821,1299.445,1286.281,4.796,2.149,23.038,21.331,2.001,50.247
639,0.653785048,0.650501013,0.645026052,0.650313884,0.645394423,3.246,0.70237,70.237,28.453,41.541,42.354,51.648,53.705,55.44,1297.654,1267.382,1304.464,1291.863,4.793,2.09,23.036,21.27,1.98,49.716
639.5,0.653719783,0.650382383,0.644947314,0.650302079,0.645309923,3.239,0.70217,70.217,28.397,41.861,42.411,51.602,53.659,55.412,1298.905,1267.951,1294.94,1281.952,4.796,2.128,23.034,21.274,1.983,50.225
640,0.653654793,0.650379172,0.644884976,0.650332418,0.64527522,3.246,0.70237,70.237,28.333,41.749,42.296,51.694,53.754,55.483,1299.531,1269.545,1305.718,1293.401,4.791,2.11,23.036,21.297,1.999,49.825
640.5,0.653569955,0.650461399,0.644848495,0.650387002,0.645290794,3.247,0.70227,70.227,28.269,41.477,42.194,51.64,53.774,55.468,1301.294,1270.398,1304.235,1291.293,4.793,2.192,23.036,21.268,1.999,49.69
641,0.653435295,0.650550425,0.644811454,0.650415217,0.645296009,3.241,0.70237,70.237,28.234,41.595,42.148,51.624,53.675,55.404,1298.564,1268.293,1303.437,1290.837,4.798,2.068,23.039,21.28,1.983,49.997
641.5,0.653237306,0.65055719,0.644728766,0.650368593,0.645230922,3.248,0.70242,70.242,28.167,41.45,42.223,51.563,53.582,55.346,1300.327,1268.691,1299.901,1286.281,4.791,2.068,23.036,21.263,1.982,50.269
642,0.652991672,0.650432084,0.644560156,0.650235392,0.645084484,3.247,0.70251,70.251,28.086,41.475,42.255,51.585,53.672,55.427,1300.612,1270.057,1299.274,1286.565,4.811,2.047,23.038,21.265,1.986,49.935
642.5,0.652735765,0.650213802,0.644312772,0.650050584,0.644896207,3.239,0.70242,70.242,28.026,41.659,42.218,51.581,53.712,55.438,1300.725,1270.342,1295.453,1282.92,4.797,2.151,23.038,21.272,1.982,49.805
643,0.65250834,0.64999822,0.644052675,0.64986784,0.644723044,3.239,0.70232,70.232,27.963,41.583,42.363,51.607,53.711,55.419,1302.375,1271.65,1303.437,1292.09,4.797,2.113,23.036,21.263,1.993,50.109
643.5,0.652336423,0.649837054,0.643851031,0.649721208,0.644601266,3.241,0.70242,70.242,27.916,41.328,42.296,51.637,53.688,55.441,1300.043,1268.862,1300.871,1288.388,4.795,2.171,23.036,21.268,1.981,49.936
644,0.65223608,0.649703453,0.643727824,0.649615147,0.644531487,3.24,0.70247,70.247,27.855,41.464,42.282,51.589,53.67,55.443,1300.782,1270,1295.453,1282.806,4.794,2.132,23.036,21.215,1.985,49.865
644.5,0.652210058,0.649571173,0.643652337,0.649539654,0.644490909,3.239,0.70256,70.256,27.804,41.661,42.204,51.616,53.72,55.461,1300.725,1269.886,1295.396,1283.262,4.793,2.129,23.036,21.139,1.99,49.988
645,0.652239732,0.649480475,0.64357761,0.64948459,0.644455311,3.238,0.70242,70.242,27.76,41.476,42.183,51.663,53.655,55.493,1302.318,1272.163,1303.95,1290.553,4.795,2.091,23.034,21.329,1.971,49.845
645.5,0.652291734,0.649494342,0.643470791,0.649447138,0.644412721,3.241,0.70247,70.247,27.743,41.47,42.238,51.624,53.746,55.502,1301.863,1271.309,1297.563,1285.255,4.793,2.149,23.039,21.065,1.992,49.776
646,0.652336701,0.649611253,0.643332615,0.649430606,0.64436185,3.237,0.70237,70.237,27.711,41.553,42.377,51.497,53.619,55.345,1300.1,1268.748,1300.015,1286.622,4.797,2.171,23.038,21.265,1.981,50.145
646.5,0.652351841,0.649748825,0.643192732,0.649426708,0.644297023,3.239,0.70237,70.237,27.694,41.3,42.198,51.544,53.672,55.437,1301.92,1270.398,1295.225,1282.294,4.797,2.069,23.036,21.255,1.994,49.932
647,0.652312365,0.649813159,0.643078592,0.649400357,0.644199408,3.241,0.70247,70.247,27.63,42.754,42.129,51.657,53.744,55.476,1301.749,1270.342,1294.426,1281.781,4.795,2.133,23.036,21.274,1.976,49.839
647.5,0.652205956,0.649767976,0.642988384,0.649310519,0.644054612,3.24,0.70247,70.247,27.619,41.407,42.123,51.583,53.702,55.419,1301.635,1270.967,1296.308,1283.091,4.798,2.149,23.038,21.265,1.982,49.754
648,0.652059214,0.649629595,0.642897476,0.649150152,0.643877909,3.236,0.70251,70.251,27.647,41.267,42.243,51.544,53.678,55.469,1301.92,1271.252,1302.296,1288.901,4.796,2.068,23.034,21.274,1.965,49.74
648.5,0.651925549,0.649419798,0.642789174,0.648949062,0.643708101,3.236,0.70247,70.247,27.642,41.428,42.108,51.607,53.767,55.484,1300.043,1269.203,1298.932,1285.54,4.796,2.154,23.036,21.261,1.963,49.555
649,0.651837764,0.649155907,0.642674944,0.648741928,0.643572121,3.239,0.70251,70.251,27.622,41.468,42.191,51.546,53.677,55.391,1302.602,1270.911,1304.521,1291.749,4.784,2.112,23.036,21.202,1.985,49.865
649.5,0.651779767,0.648877134,0.642579856,0.648553615,0.643464142,3.231,0.70251,70.251,27.599,41.338,42.256,51.488,53.598,55.333,1301.01,1271.537,1294.483,1281.838,4.796,2.13,23.036,21.265,1.978,50.199
650,0.651702932,0.648637843,0.642511464,0.648403155,0.643361158,3.237,0.70251,70.251,27.616,41.263,42.22,51.422,53.645,55.403,1301.806,1270.569,1304.578,1291.122,4.805,2.091,23.036,21.242,1.985,49.979
650.5,0.65156709,0.648462315,0.642453229,0.648290043,0.643252782,3.233,0.70251,70.251,27.621,41.495,42.209,51.54,53.641,55.376,1302.318,1271.65,1301.156,1289.015,4.796,2.171,23.036,21.261,1.974,49.889
651,0.65137583,0.648333326,0.642383973,0.648180949,0.643151206,3.234,0.70247,70.247,27.595,41.515,42.122,51.598,53.741,55.484,1298.734,1267.155,1296.422,1283.262,4.797,2.149,23.038,21.221,1.993,49.564
651.5,0.651180178,0.648234369,0.642291791,0.648037387,0.643076243,3.234,0.70261,70.261,27.61,41.187,42.207,51.669,53.682,55.428,1300.1,1268.976,1298.361,1285.369,4.797,2.09,23.036,21.202,1.989,49.983
652,0.651040933,0.648178727,0.642181317,0.647857762,0.643038043,3.23,0.70256,70.256,27.621,41.269,42.31,51.558,53.68,55.368,1297.711,1267.212,1297.164,1283.774,4.796,2.151,23.038,21.265,1.983,50.183
652.5,0.650980036,0.648185254,0.642088276,0.647680847,0.643036197,3.231,0.70247,70.247,27.654,41.11,42.256,51.64,53.78,55.488,1297.483,1267.155,1303.437,1290.837,4.796,2.112,23.038,21.259,1.964,49.809
653,0.650971777,0.648246687,0.642081301,0.647556354,0.643067177,3.234,0.70256,70.256,27.7,41.36,42.154,51.577,53.752,55.449,1300.612,1270.171,1298.875,1286.11,4.803,2.148,23.034,21.259,1.993,49.774
653.5,0.650978236,0.648338289,0.642220573,0.647521601,0.643122363,3.229,0.70251,70.251,27.647,41.38,42.18,51.55,53.649,55.434,1299.474,1268.976,1295.339,1282.066,4.797,2.128,23.038,21.211,1.991,50.127
654,0.650978509,0.648441784,0.64249497,0.647592097,0.643180971,3.231,0.70251,70.251,27.716,41.526,42.333,51.568,53.639,55.398,1299.872,1269.545,1304.692,1293.344,4.795,2.104,23.036,21.27,1.973,49.914
654.5,0.650972583,0.648550158,0.642810859,0.647754877,0.643219286,3.237,0.70247,70.247,27.784,41.603,42.299,51.574,53.669,55.425,1299.246,1268.122,1294.312,1281.895,4.797,2.112,23.036,21.189,1.989,49.964
655,0.650984226,0.64866931,0.643066227,0.647974054,0.643239563,3.234,0.70247,70.247,27.832,41.504,42.298,51.646,53.67,55.464,1297.199,1266.529,1301.954,1289.983,4.816,2.172,23.038,21.202,1.966,49.947
655.5,0.651059035,0.64882423,0.64323114,0.648214312,0.643282303,3.232,0.70256,70.256,27.878,41.321,42.266,51.56,53.729,55.481,1300.27,1268.805,1294.483,1281.724,4.816,2.13,23.038,21.265,1.978,49.683
656,0.651239807,0.649040321,0.643343121,0.648463209,0.643394359,3.236,0.70227,70.227,27.928,41.592,42.136,51.592,53.761,55.476,1303.513,1271.707,1297.62,1284.572,4.795,2.15,23.038,21.274,1.975,49.596
656.5,0.651539628,0.649305351,0.643450218,0.648732609,0.643587188,3.234,0.70247,70.247,27.934,41.383,42.136,51.63,53.763,55.495,1301.635,1270.285,1303.38,1290.268,4.799,2.193,23.038,21.266,1.978,49.661
657,0.651952289,0.649575508,0.643602662,0.649050309,0.64385239,3.24,0.70242,70.242,27.954,41.918,42.249,51.578,53.709,55.464,1302.034,1271.252,1296.879,1283.831,4.796,2.149,23.039,21.208,1.99,49.75
657.5,0.652496313,0.649848287,0.643893295,0.64946173,0.644229493,3.242,0.70242,70.242,28.026,41.653,42.191,51.572,53.644,55.358,1301.579,1269.317,1301.156,1288.16,4.795,2.089,23.036,21.331,1.978,50.024
658,0.653230631,0.650212599,0.644441256,0.650026348,0.644819293,3.235,0.70232,70.232,28.075,41.572,42.192,51.634,53.735,55.473,1296.744,1267.098,1305.547,1292.261,4.798,2.092,23.043,21.2,1.984,49.832
658.5,0.654186624,0.650773574,0.645278348,0.6507685,0.645677805,3.237,0.70247,70.247,28.206,41.459,42.366,51.572,53.664,55.414,1298.962,1268.521,1304.578,1292.09,4.795,2.09,23.036,21.265,1.99,49.998
659,0.655275687,0.651511464,0.646260637,0.651613405,0.646702501,3.259,0.70237,70.237,28.037,41.259,42.27,51.664,53.7,55.423,1302.318,1270.911,1300.3,1287.705,4.796,2.09,23.038,21.333,1.908,49.805
659.5,0.656301122,0.652259242,0.647142972,0.652404361,0.647671044,3.26,0.70237,70.237,28.202,41.44,42.136,51.648,53.761,55.466,1300.953,1270.285,1304.635,1292.147,4.796,2.09,23.038,21.272,1.957,49.542
660,0.657082467,0.652844238,0.647758416,0.653007588,0.648401789,3.264,0.70242,70.242,28.235,41.578,42.03,51.652,53.475,55.473,1300.612,1269.431,1304.692,1292.375,4.795,2.192,23.038,21.274,1.951,49.527
660.5,0.65755544,0.653221565,0.648106076,0.65338605,0.648852783,3.261,0.70227,70.227,28.183,41.746,42.212,51.614,53.689,55.418,1301.977,1270.512,1296.879,1284.287,4.797,2.149,23.036,21.276,1.959,49.871
661,0.657761689,0.653456444,0.648271051,0.653571921,0.649078359,3.261,0.70232,70.232,28.079,41.453,42.273,51.623,53.665,55.397,1298.678,1268.008,1301.669,1288.901,4.808,2.11,23.11,21.276,1.962,50.037
661.5,0.657781607,0.653615342,0.648305823,0.65360506,0.649140045,3.266,0.70247,70.247,27.977,41.244,42.388,51.626,53.721,55.459,1304.138,1272.447,1301.555,1288.844,4.795,2.091,23.038,21.316,1.966,49.832
662,0.657686781,0.653706281,0.648221597,0.653519265,0.649075049,3.264,0.70251,70.251,27.821,41.178,42.206,51.562,53.714,55.469,1301.806,1270.455,1299.958,1286.565,4.783,2.131,23.036,21.208,1.967,49.67
662.5,0.657529302,0.653710175,0.648061666,0.653361516,0.648916874,3.26,0.70256,70.256,27.716,41.402,42.207,51.569,53.676,55.417,1299.758,1268.35,1298.932,1285.483,4.798,2.232,23.036,21.266,1.96,49.909
663,0.657350519,0.653636998,0.647919681,0.653187963,0.648713175,3.262,0.70251,70.251,27.69,41.442,42.347,51.497,53.643,55.274,1301.124,1270.228,1303.152,1290.553,4.795,2.112,23.036,21.266,1.961,50.594
663.5,0.657192944,0.653537132,0.647870533,0.653036197,0.648519246,3.258,0.70256,70.256,27.631,41.263,42.24,51.588,53.725,55.433,1302.147,1271.878,1296.822,1283.376,4.795,2.15,23.036,20.995,1.981,49.914
664,0.657098032,0.653461867,0.647910341,0.652916989,0.648379795,3.258,0.70256,70.256,27.563,41.613,42.212,51.456,53.655,55.363,1299.645,1269.09,1297.392,1284.287,4.796,2.171,23.036,21.289,1.968,50.069
664.5,0.657082398,0.653420546,0.647973073,0.652834945,0.648314642,3.263,0.70256,70.256,27.527,41.304,42.218,51.573,53.718,55.43,1300.27,1269.26,1295.453,1282.578,4.796,2.149,23.036,21.274,1.96,49.924
665,0.657117485,0.653379437,0.647988425,0.652800895,0.648312433,3.255,0.70251,70.251,27.503,41.403,42.252,51.516,53.506,55.241,1299.36,1268.976,1294.312,1280.87,4.796,2.15,23.038,21.266,1.958,50.362
665.5,0.657143546,0.653295682,0.647922616,0.652814764,0.648331576,3.263,0.70251,70.251,27.48,41.08,42.229,51.587,53.75,55.456,1300.27,1268.748,1305.547,1291.806,4.797,2.114,23.036,21.259,1.958,49.751
666,0.657116251,0.65314904,0.647790921,0.652847148,0.648319719,3.261,0.70256,70.256,27.497,41.033,42.232,51.484,53.636,55.365,1300.668,1269.317,1305.718,1292.261,4.775,2.133,23.036,21.27,1.962,50.004
666.5,0.657042189,0.652951323,0.647649567,0.652850165,0.648250562,3.257,0.70256,70.256,27.488,41.021,42.163,51.516,53.659,55.332,1301.351,1269.886,1304.578,1292.489,4.796,2.112,23.036,21.265,1.989,50.003
